customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,account.Charges.Monthly,account.Charges.Total
0022-TCJCI,True,Male,True,False,False,45,True,False,DSL,1,0,1,0,0,1,One year,False,Credit card (automatic),62.7,2791.5
0023-HGHWL,True,Male,True,False,False,1,False,True,DSL,0,0,0,0,0,0,Month-to-month,True,Electronic check,25.1,25.1
0023-UYUPN,False,Female,True,True,False,50,True,True,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Electronic check,25.2,1306.3
0023-XUOPT,True,Female,False,True,False,13,True,True,Fiber optic,0,1,1,0,1,0,Month-to-month,False,Electronic check,94.1,1215.6
0027-KWYKW,False,Female,False,True,True,23,True,True,Fiber optic,0,0,0,0,1,0,Month-to-month,True,Electronic check,83.75,1849.95
0030-FNXPP,False,Female,False,False,False,3,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.85,57.2
0031-PVLZI,True,Female,False,True,True,4,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.35,76.35
0032-PGELS,True,Female,False,True,True,1,False,True,DSL,1,0,0,0,0,0,Month-to-month,False,Bank transfer (automatic),30.5,30.5
0036-IHMOT,False,Female,False,True,True,55,True,False,Fiber optic,0,1,1,1,1,1,One year,True,Bank transfer (automatic),103.7,5656.75
0040-HALCW,False,Male,False,True,True,54,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),20.4,1090.6
0042-JVWOJ,False,Male,False,False,False,26,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Bank transfer (automatic),19.6,471.85
0042-RLHYP,False,Female,False,True,True,69,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),19.7,1396.9
0047-ZHDTW,True,Female,False,False,False,11,True,True,Fiber optic,1,0,0,0,0,0,Month-to-month,True,Bank transfer (automatic),79.0,929.3
0048-LUMLS,False,Male,False,True,True,37,True,False,Fiber optic,0,0,0,0,1,1,One year,False,Credit card (automatic),91.2,3247.55
0048-PIHNL,False,Female,False,True,False,49,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),20.45,900.9
0052-DCKON,False,Male,False,True,False,66,True,True,Fiber optic,1,1,1,1,1,1,One year,False,Bank transfer (automatic),115.8,7942.15
0052-YNYOT,False,Female,False,False,False,67,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Electronic check,20.55,1343.4
0056-EPFBG,False,Male,False,True,True,20,False,True,DSL,1,0,1,1,0,0,Two year,True,Credit card (automatic),39.4,825.4
0057-QBUQH,False,Female,False,False,True,43,True,True,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Electronic check,25.1,1070.15
0058-EVZWM,False,Female,False,True,False,55,True,True,Fiber optic,1,0,0,0,1,0,Month-to-month,True,Bank transfer (automatic),89.8,4959.6
0060-FUALY,False,Female,False,True,False,59,True,True,Fiber optic,1,1,0,0,1,0,Month-to-month,True,Electronic check,94.75,5597.65
0064-SUDOG,False,Female,False,True,True,12,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.3,224.5
0064-YIJGF,False,Male,False,True,True,27,True,True,Fiber optic,0,0,0,0,0,0,Month-to-month,True,Bank transfer (automatic),75.75,1929.0
0067-DKWBL,True,Male,True,False,False,2,True,False,DSL,1,0,0,0,0,0,Month-to-month,True,Electronic check,49.25,91.1
0068-FIGTF,False,Female,False,False,False,27,True,False,DSL,0,1,1,1,1,1,One year,False,Mailed check,78.2,2078.95
0071-NDAFP,False,Male,False,True,True,25,True,True,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),25.5,630.6
0074-HDKDG,False,Male,False,True,True,25,True,False,DSL,1,1,1,0,0,0,One year,True,Bank transfer (automatic),61.6,1611.0
0076-LVEPS,False,Male,False,False,True,29,False,True,DSL,1,1,1,1,0,0,Month-to-month,True,Mailed check,45.0,1242.45
0078-XZMHT,False,Male,False,True,False,72,True,True,DSL,0,1,1,1,1,1,Two year,True,Bank transfer (automatic),85.15,6316.2
0080-EMYVY,False,Female,False,False,False,14,True,False,DSL,0,1,0,0,0,0,One year,False,Credit card (automatic),51.45,727.85
0080-OROZO,False,Female,False,False,False,35,True,False,Fiber optic,0,0,1,1,1,1,One year,True,Electronic check,99.25,3532.0
0082-LDZUE,False,Male,False,False,False,1,True,False,DSL,0,0,0,0,0,0,Month-to-month,True,Mailed check,44.3,44.3
0082-OQIQY,False,Male,False,False,False,29,True,False,Fiber optic,0,0,0,1,1,1,Month-to-month,True,Electronic check,94.2,2607.6
0083-PIVIK,False,Male,False,False,False,64,True,True,DSL,1,1,1,1,1,0,One year,False,Electronic check,81.25,5567.55
0089-IIQKO,False,Female,False,True,True,39,True,True,Fiber optic,0,0,0,1,1,1,Month-to-month,True,Credit card (automatic),99.95,3767.4
0093-EXYQL,False,Female,True,False,False,40,True,False,Fiber optic,0,0,0,0,1,1,Month-to-month,True,Electronic check,91.55,3673.6
0093-XWZFY,True,Male,False,False,False,40,True,True,Fiber optic,0,1,1,0,1,1,Month-to-month,True,Credit card (automatic),104.5,4036.85
0094-OIFMO,True,Female,True,False,False,11,True,False,Fiber optic,0,1,0,0,1,1,Month-to-month,True,Electronic check,95.0,1120.3
0096-BXERS,False,Female,False,True,False,6,True,True,DSL,0,0,0,0,0,0,Month-to-month,False,Electronic check,50.35,314.55
0096-FCPUF,False,Male,False,False,False,30,True,True,DSL,1,0,0,0,0,1,Month-to-month,True,Mailed check,64.5,1888.45
0098-BOWSO,False,Male,False,False,False,27,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Electronic check,19.4,529.8
0100-DUVFC,False,Male,True,True,False,70,True,True,Fiber optic,0,1,1,0,1,1,One year,True,Electronic check,104.8,7308.95
0103-CSITQ,False,Female,False,True,False,57,True,True,Fiber optic,0,1,1,1,1,1,One year,True,Bank transfer (automatic),109.4,6252.7
0104-PPXDV,False,Male,False,True,False,58,True,False,DSL,0,0,1,0,0,0,One year,False,Credit card (automatic),50.3,2878.55
0106-GHRQR,False,Male,False,False,False,16,True,True,DSL,0,1,1,0,0,1,Month-to-month,True,Bank transfer (automatic),71.4,1212.1
0106-UGRDO,False,Female,False,True,False,69,True,True,Fiber optic,1,1,1,1,1,1,Two year,True,Electronic check,116.0,8182.85
0107-WESLM,True,Male,False,False,False,1,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Electronic check,19.85,19.85
0107-YHINA,True,Male,False,False,True,1,True,True,Fiber optic,0,0,1,0,1,1,Month-to-month,True,Electronic check,99.75,99.75
0111-KLBQG,False,Male,True,True,True,32,True,False,Fiber optic,0,1,0,0,1,1,Month-to-month,True,Mailed check,93.95,2861.45
0112-QAWRZ,False,Male,False,True,True,16,True,True,Fiber optic,0,0,1,0,1,0,Month-to-month,True,Bank transfer (automatic),90.8,1442.2
0112-QWPNC,True,Male,False,True,False,49,True,True,DSL,1,0,1,1,1,1,One year,False,Electronic check,84.35,4059.35
0114-IGABW,False,Female,False,True,False,71,False,True,DSL,0,1,1,1,1,1,Two year,False,Bank transfer (automatic),58.25,4145.9
0114-PEGZZ,False,Female,False,False,False,33,True,True,Fiber optic,0,1,1,0,1,1,Month-to-month,False,Electronic check,107.55,3645.5
0114-RSRRW,False,Female,False,True,False,10,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Bank transfer (automatic),19.95,187.75
0115-TFERT,True,Male,False,True,False,21,True,True,Fiber optic,0,1,1,1,1,1,Month-to-month,True,Electronic check,111.2,2317.1
0117-LFRMW,True,Male,False,True,True,37,False,True,DSL,1,1,1,0,0,0,Month-to-month,False,Bank transfer (automatic),40.2,1448.8
0118-JPNOY,False,Female,True,False,False,26,True,False,Fiber optic,1,0,0,0,1,0,Month-to-month,True,Credit card (automatic),85.8,2193.65
0120-YZLQA,True,Male,False,False,False,71,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Credit card (automatic),19.9,1355.1
0121-SNYRK,False,Male,False,False,False,50,False,True,DSL,1,0,0,1,0,0,One year,True,Mailed check,35.4,1748.9
0122-OAHPZ,True,Female,False,False,False,7,True,True,Fiber optic,0,0,0,0,0,0,Month-to-month,True,Electronic check,73.85,511.25
0123-CRBRT,False,Female,False,True,True,61,True,True,DSL,1,1,1,1,1,1,Two year,False,Mailed check,88.1,5526.75
0125-LZQXK,True,Male,False,False,False,15,True,False,Fiber optic,0,0,1,1,1,1,Month-to-month,True,Electronic check,101.35,1553.95
0128-MKWSG,False,Female,False,False,True,26,False,True,DSL,1,0,0,1,0,1,Month-to-month,False,Mailed check,45.8,1147.0
0129-KPTWJ,False,Male,False,True,False,72,True,False,Fiber optic,0,0,1,0,1,1,Month-to-month,True,Electronic check,94.65,6747.35
0129-QMPDR,False,Male,False,True,True,44,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Bank transfer (automatic),20.5,865.05
0130-SXOUN,False,Male,False,False,False,66,True,True,Fiber optic,0,1,0,0,0,1,Month-to-month,False,Credit card (automatic),89.4,5976.9
0133-BMFZO,True,Female,False,False,False,2,True,False,Fiber optic,1,1,0,1,0,0,Month-to-month,True,Electronic check,86.25,181.65
0134-XWXCE,False,Female,True,False,False,44,True,False,DSL,0,0,1,1,1,1,One year,False,Bank transfer (automatic),74.85,3268.05
0135-NMXAP,True,Female,False,False,False,12,True,True,Fiber optic,0,1,0,0,1,0,Month-to-month,True,Bank transfer (automatic),89.75,1052.4
0136-IFMYD,False,Male,True,True,False,69,True,True,Fiber optic,0,1,1,1,1,1,Two year,True,Electronic check,109.95,7634.25
0137-OCGAB,True,Female,False,False,False,1,True,True,Fiber optic,0,1,0,0,0,0,Month-to-month,True,Mailed check,80.2,80.2
0137-UDEUO,True,Female,False,False,False,3,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.85,63.75
0139-IVFJG,False,Female,False,True,False,2,True,False,Fiber optic,1,1,0,0,1,0,Month-to-month,False,Electronic check,90.35,190.5
0141-YEAYS,False,Female,True,False,False,27,True,True,Fiber optic,0,1,1,0,0,0,Month-to-month,True,Bank transfer (automatic),86.45,2401.05
0142-GVYSN,False,Male,False,False,False,26,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Electronic check,20.3,511.25
0147-ESWWR,False,Female,True,True,False,39,True,True,Fiber optic,0,0,0,1,1,1,Month-to-month,True,Electronic check,101.25,3949.15
0148-DCDOS,True,Male,False,False,False,25,True,True,Fiber optic,0,0,0,0,1,1,Month-to-month,True,Bank transfer (automatic),94.7,2362.1
0151-ONTOV,True,Female,False,False,False,1,True,False,Fiber optic,0,0,0,0,0,0,Month-to-month,False,Mailed check,70.9,70.9
0154-QYHJU,True,Male,False,False,False,29,True,False,DSL,1,1,0,1,0,0,One year,True,Electronic check,58.75,1696.2
0156-FVPTA,True,Male,False,True,False,22,True,False,DSL,1,0,0,1,0,0,Month-to-month,True,Electronic check,54.2,1152.7
0162-RZGMZ,True,Female,True,False,False,5,True,False,DSL,1,1,0,1,0,0,Month-to-month,False,Credit card (automatic),59.9,287.85
0164-APGRB,False,Female,False,False,False,72,True,True,Fiber optic,1,1,1,1,1,1,Two year,True,Electronic check,114.9,8496.7
0164-XAIRP,False,Female,False,False,False,24,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),19.55,470.2
0168-XZKBB,False,Female,False,True,False,19,True,True,Fiber optic,0,0,0,0,1,0,Month-to-month,True,Electronic check,86.85,1564.4
0174-QRVVY,False,Male,False,True,True,71,True,True,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),25.35,1847.55
0177-PXBAT,False,Male,True,True,False,33,True,True,Fiber optic,1,0,1,1,1,1,Month-to-month,True,Bank transfer (automatic),109.9,3694.7
0178-CIIKR,False,Female,False,False,False,3,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.95,58.0
0178-SZBHO,False,Male,False,True,True,47,True,True,Fiber optic,0,1,0,0,1,0,Month-to-month,False,Electronic check,87.2,4017.45
0181-RITDD,False,Male,False,True,True,62,True,False,Fiber optic,1,1,1,1,1,1,Two year,False,Mailed check,108.15,6825.65
0186-CAERR,False,Male,False,False,False,71,True,True,Fiber optic,1,1,1,1,1,1,One year,True,Bank transfer (automatic),116.3,8309.55
0187-QSXOE,False,Male,True,True,False,7,True,False,Fiber optic,0,0,0,0,1,1,Month-to-month,True,Electronic check,89.0,605.45
0187-WZNAB,False,Female,False,True,True,27,True,False,Fiber optic,1,0,0,0,0,0,Month-to-month,False,Mailed check,74.4,1972.35
0188-GWFLE,False,Male,False,False,False,2,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.05,33.7
0191-EQUUH,False,Female,False,False,True,25,False,True,DSL,1,0,0,1,0,0,Two year,False,Bank transfer (automatic),35.05,844.45
0191-ZHSKZ,False,Male,True,False,False,30,True,False,DSL,1,1,0,0,1,1,Month-to-month,True,Electronic check,74.75,2111.3
0193-ESZXP,True,Female,True,True,False,58,True,False,Fiber optic,1,1,0,1,1,1,One year,True,Credit card (automatic),105.5,6205.5
0195-IESCP,True,Male,False,True,False,10,True,True,Fiber optic,0,0,0,0,0,1,Month-to-month,True,Electronic check,85.25,855.3
0196-JTUQI,False,Female,False,False,False,9,True,True,Fiber optic,0,0,0,0,0,0,Month-to-month,True,Credit card (automatic),75.2,633.85
0196-VULGZ,True,Female,True,True,False,6,True,True,Fiber optic,0,0,0,0,0,1,Month-to-month,True,Electronic check,84.35,474.9
0197-PNKNK,False,Female,False,True,True,69,True,True,Fiber optic,1,0,1,0,0,0,One year,False,Bank transfer (automatic),84.45,5848.6
0201-MIBOL,False,Female,True,False,False,66,True,True,Fiber optic,1,0,0,0,1,1,Two year,True,Bank transfer (automatic),102.4,6471.85
0201-OAMXR,True,Female,False,False,False,70,True,True,Fiber optic,1,1,1,1,1,1,One year,False,Credit card (automatic),115.55,8127.6
0203-HHYIJ,True,Male,False,False,False,25,True,True,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),25.3,676.35
0206-OYVOC,False,Female,False,True,True,46,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,19.25,864.2
0206-TBWLC,False,Female,False,True,False,54,True,True,Fiber optic,1,1,1,1,1,1,One year,True,Mailed check,114.65,6049.5
0207-MDKNV,True,Female,False,False,False,15,True,False,Fiber optic,1,0,1,1,1,1,Month-to-month,False,Electronic check,105.1,1582.75
0208-BPQEJ,False,Female,False,True,True,12,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),19.4,198.1
0212-ISBBF,False,Female,False,False,False,22,False,True,DSL,0,1,0,0,1,1,Month-to-month,True,Electronic check,50.35,1098.85
0214-JHPFW,False,Female,False,True,False,70,False,True,DSL,0,1,1,1,1,1,Two year,False,Bank transfer (automatic),57.8,4039.3
0215-BQKGS,False,Male,False,False,False,30,True,False,Fiber optic,1,1,1,0,0,0,Month-to-month,True,Credit card (automatic),84.3,2438.6
0218-QNVAS,False,Male,False,True,True,71,True,True,Fiber optic,0,1,0,0,1,1,One year,False,Bank transfer (automatic),100.55,7113.75
0219-QAERP,False,Male,False,True,False,30,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Credit card (automatic),19.8,576.65
0219-YTZUE,True,Male,False,True,True,4,True,True,Fiber optic,0,1,1,0,0,0,Month-to-month,True,Bank transfer (automatic),84.8,371.9
0220-EBGCE,True,Male,False,False,False,2,True,False,Fiber optic,0,0,1,0,0,1,Month-to-month,True,Electronic check,85.85,167.3
0221-NAUXK,False,Male,False,False,True,10,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Bank transfer (automatic),19.95,219.5
0221-WMXNQ,False,Male,True,False,False,4,True,False,Fiber optic,1,0,0,0,0,0,Month-to-month,False,Electronic check,75.35,273.4
0222-CNVPT,False,Male,True,False,False,52,False,True,DSL,1,0,0,0,1,1,Month-to-month,True,Credit card (automatic),48.8,2555.05
0224-HJAPT,True,Male,False,False,False,5,True,True,DSL,0,0,0,0,0,0,Month-to-month,False,Electronic check,47.15,223.15
0224-NIJLP,False,Male,False,True,True,8,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,20.15,165.5
0224-RLWWD,False,Female,True,False,False,2,True,False,DSL,0,0,0,0,0,0,Month-to-month,True,Electronic check,44.3,89.3
0225-ZORZP,False,Male,False,False,False,3,True,False,Fiber optic,0,1,0,0,0,1,Month-to-month,False,Electronic check,84.3,235.05
0228-MAUWC,False,Male,False,False,False,19,True,True,DSL,0,0,1,1,0,0,Month-to-month,False,Electronic check,59.55,1144.6
0229-LFJAF,False,Male,False,False,False,72,True,True,DSL,1,1,1,1,0,0,Two year,False,Bank transfer (automatic),69.65,4908.25
0230-UBYPQ,False,Male,True,True,False,63,False,True,DSL,1,0,0,1,0,0,One year,False,Bank transfer (automatic),36.1,2298.9
0230-WEQUW,False,Male,False,True,False,66,False,True,DSL,1,1,1,1,1,0,Two year,True,Bank transfer (automatic),56.6,3789.2
0231-LXVAP,True,Male,False,False,False,1,True,False,Fiber optic,0,0,0,1,0,0,Month-to-month,True,Electronic check,75.9,75.9
0233-FTHAV,False,Female,False,False,False,60,True,True,Fiber optic,0,0,1,0,0,0,One year,True,Bank transfer (automatic),79.2,4765.0
0234-TEVTT,False,Female,False,True,True,48,False,True,DSL,1,0,1,0,0,1,One year,False,Credit card (automatic),45.0,2196.3
0235-KGSLC,True,Female,False,False,False,1,True,False,Fiber optic,0,0,1,0,1,0,Month-to-month,True,Credit card (automatic),85.55,85.55
0236-HFWSV,True,Male,False,False,False,15,True,True,Fiber optic,0,0,0,0,1,1,Month-to-month,True,Electronic check,93.35,1444.65
0237-YFUTL,False,Female,False,True,False,50,True,True,Fiber optic,1,1,0,1,1,1,Month-to-month,True,Bank transfer (automatic),109.65,5405.8
0238-WHBIQ,False,Male,False,True,True,72,True,True,DSL,1,1,1,1,1,1,Two year,False,Credit card (automatic),89.7,6339.3
0239-OXEXL,False,Female,False,False,False,46,True,True,Fiber optic,1,1,0,0,0,0,Month-to-month,False,Mailed check,84.25,3847.6
0244-LGNFY,False,Female,False,True,True,72,True,True,DSL,1,1,1,1,1,1,Two year,False,Bank transfer (automatic),92.65,6733.0
0247-SLUJI,False,Male,False,True,True,1,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.7,19.7
0248-IPDFW,False,Female,False,False,False,1,True,True,DSL,0,0,0,0,0,0,Month-to-month,True,Electronic check,50.1,50.1
0248-PGHBZ,False,Female,True,False,False,67,True,False,Fiber optic,1,1,0,1,1,0,Two year,True,Bank transfer (automatic),92.45,6140.85
0253-ZTEOB,False,Female,False,True,True,48,True,True,DSL,0,1,0,1,1,1,Two year,False,Electronic check,79.65,3870.3
0254-FNMCI,False,Female,False,False,False,72,True,False,Fiber optic,1,1,1,1,1,1,Two year,True,Electronic check,109.9,7624.2
0254-KCJGT,False,Male,False,True,False,52,True,True,DSL,1,1,1,1,0,1,One year,True,Credit card (automatic),81.4,4354.45
0254-WWRKD,False,Female,False,True,True,67,True,False,DSL,0,1,0,0,0,0,One year,False,Credit card (automatic),50.55,3431.75
0256-LTHVJ,True,Female,False,True,True,28,True,False,Fiber optic,0,0,0,0,0,1,Month-to-month,True,Electronic check,81.05,2227.1
0257-KXZGU,False,Female,False,True,True,32,True,True,DSL,0,1,1,0,0,0,Month-to-month,False,Bank transfer (automatic),62.45,2045.55
0257-ZESQC,True,Female,True,True,False,27,True,False,Fiber optic,1,0,0,0,0,0,Month-to-month,True,Bank transfer (automatic),75.2,1929.35
0258-NOKBL,False,Male,False,False,False,3,True,False,Fiber optic,0,1,1,0,0,1,Month-to-month,False,Electronic check,90.4,268.45
0259-GBZSH,True,Male,False,False,False,2,True,True,Fiber optic,0,0,0,0,1,0,Month-to-month,True,Electronic check,85.65,181.5
0260-ZDLGK,True,Female,False,False,True,9,True,False,DSL,0,0,1,1,1,1,Month-to-month,True,Mailed check,72.9,651.4
0263-FJTQO,False,Male,False,True,True,50,True,True,DSL,1,0,0,1,1,0,Two year,True,Credit card (automatic),70.5,3486.65
0264-CNITK,False,Female,False,True,True,71,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.1,1389.6
0265-EDXBD,True,Male,True,True,False,32,True,True,Fiber optic,0,0,0,0,0,0,Month-to-month,True,Electronic check,74.9,2303.35
0265-PSUAE,False,Female,False,True,True,16,True,False,Fiber optic,1,0,1,0,1,1,Month-to-month,False,Bank transfer (automatic),100.7,1522.7
0266-CLZKZ,False,Female,False,True,True,67,True,True,Fiber optic,0,0,1,1,1,1,Two year,True,Bank transfer (automatic),105.65,6717.9
0266-GMEAO,False,Male,False,True,True,72,True,True,Fiber optic,1,1,1,1,1,1,Two year,True,Credit card (automatic),114.3,8058.55
0268-QKIWO,True,Female,False,False,False,3,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Electronic check,19.75,58.85
0269-XFESX,False,Male,False,True,True,23,True,True,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,24.35,538.5
0270-THENM,False,Male,False,True,True,72,True,True,DSL,1,1,1,1,0,0,Two year,False,Bank transfer (automatic),69.85,5102.35
0274-JKUJR,False,Male,False,True,True,7,False,True,DSL,1,1,1,0,1,1,Month-to-month,False,Mailed check,58.85,465.7
0274-VVQOQ,True,Male,True,True,False,65,True,True,Fiber optic,0,1,1,0,1,1,One year,True,Bank transfer (automatic),103.15,6792.45
0277-BKSQP,False,Male,False,True,True,8,True,False,DSL,0,0,0,0,1,0,Month-to-month,True,Electronic check,54.4,475.1
0277-ORXQS,False,Male,False,True,True,66,False,True,DSL,0,0,0,1,1,1,Two year,False,Bank transfer (automatic),50.55,3364.55
0278-YXOOG,True,Male,False,False,False,5,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,21.05,113.85
0280-XJGEX,True,Male,False,False,False,49,True,True,Fiber optic,0,1,1,0,1,1,Month-to-month,True,Bank transfer (automatic),103.7,5036.3
0281-CNTZX,False,Male,False,True,False,63,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),19.95,1234.8
0282-NVSJS,False,Female,True,True,True,12,False,True,DSL,0,0,0,1,0,0,Month-to-month,True,Mailed check,29.3,355.9
0285-INHLN,False,Male,False,True,True,27,True,False,DSL,1,1,0,0,0,0,Month-to-month,True,Credit card (automatic),54.75,1510.3
0289-IVARM,False,Female,False,False,False,35,True,False,DSL,1,1,1,0,0,0,Month-to-month,False,Electronic check,60.55,1982.6
0292-WEGCH,False,Female,False,True,True,54,True,True,DSL,0,1,1,1,1,1,Month-to-month,True,Electronic check,86.2,4524.05
0295-PPHDO,True,Male,False,False,False,1,True,True,Fiber optic,0,0,0,0,1,1,Month-to-month,True,Electronic check,95.45,95.45
0295-QVKPB,False,Male,False,False,False,5,True,False,DSL,0,0,1,1,1,0,Month-to-month,True,Credit card (automatic),63.95,318.1
0297-RBCSG,False,Male,False,False,False,19,True,False,DSL,0,1,0,1,0,1,One year,True,Bank transfer (automatic),65.35,1231.85
0298-XACET,False,Male,False,True,True,52,False,True,DSL,0,1,1,1,1,0,Two year,False,Mailed check,50.2,2554.0
0301-FIDRB,False,Female,False,True,True,72,False,True,DSL,1,1,1,1,1,1,Two year,True,Bank transfer (automatic),63.8,4684.3
0301-KOBTQ,False,Male,False,False,False,32,True,False,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),20.05,614.45
0302-JOIVN,True,Female,False,True,False,8,True,False,Fiber optic,0,1,1,0,1,1,Month-to-month,False,Electronic check,101.15,842.9
0303-UNCIP,False,Male,False,False,False,41,True,True,DSL,0,0,1,0,0,1,One year,False,Mailed check,65.0,2531.8
